student_id,weakest_sub,weakest_sub_enc,addition_score,addition_ratio,addition_correct,comparing_fractions_score,comparing_fractions_ratio,comparing_fractions_correct,division_score,division_ratio,division_correct,fraction_to_decimal_score,fraction_to_decimal_ratio,fraction_to_decimal_correct,multiplication_score,multiplication_ratio,multiplication_correct,ordering_fractions_score,ordering_fractions_ratio,ordering_fractions_correct,simplifying_fractions_score,simplifying_fractions_ratio,simplifying_fractions_correct,subtraction_score,subtraction_ratio,subtraction_correct
S04360,Addition,0,8,0.4,2,10,0.5,1,18,0.9,4,16,0.8,4,10,0.5,2,20,1.0,5,12,0.6,2,12,0.6,2
S05050,Subtraction,7,16,0.8,4,16,0.8,4,10,0.5,2,4,0.2,1,18,0.9,4,18,0.9,4,20,1.0,5,4,0.2,1
S02324,Division,2,6,0.3,1,12,0.6,3,2,0.1,0,16,0.8,4,14,0.7,3,14,0.7,3,10,0.5,2,8,0.4,2
S05330,Ordering Fractions,5,16,0.8,4,4,0.2,1,8,0.4,2,16,0.8,4,20,1.0,5,0,0.0,0,8,0.4,2,18,0.9,4
S05847,Simplifying Fractions,6,8,0.4,2,12,0.6,3,6,0.3,1,8,0.4,2,14,0.7,3,8,0.4,2,4,0.2,1,16,0.8,4
S00346,Comparing Fractions,1,12,0.6,2,6,0.3,1,16,0.8,4,14,0.7,2,14,0.7,2,12,0.6,3,10,0.5,2,12,0.6,2
S03582,Multiplication,4,10,0.5,2,12,0.6,3,16,0.8,4,12,0.6,2,6,0.3,1,14,0.7,3,14,0.7,3,16,0.8,4
S03668,Comparing Fractions,1,8,0.4,2,6,0.3,1,18,0.9,4,16,0.8,4,10,0.5,1,10,0.5,2,16,0.8,3,10,0.5,2
S02859,Simplifying Fractions,6,6,0.3,1,8,0.4,2,12,0.6,3,12,0.6,3,10,0.5,2,12,0.6,3,6,0.3,1,14,0.7,2
S05336,Simplifying Fractions,6,16,0.8,4,12,0.6,3,10,0.5,2,8,0.4,2,6,0.3,1,12,0.6,3,4,0.2,1,8,0.4,2
S02347,Multiplication,4,12,0.6,2,10,0.5,1,8,0.4,1,20,1.0,5,0,0.0,0,8,0.4,1,12,0.6,3,18,0.9,4
S06366,Simplifying Fractions,6,8,0.4,2,4,0.2,1,4,0.2,1,12,0.6,3,12,0.6,3,4,0.2,1,0,0.0,0,4,0.2,1
