weak_area,video_title,video_url,video_duration,difficulty_level,content_quality_score,student_suitability_score,recommendation_score
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,7.461,7.833
Ordering Fractions,How to Order Fractions,https://www.youtube.com/watch?v=i2PfHDs88YE,6:33,Beginner,8.8,9.334,8.592
Ordering Fractions,Introduction to Ordering Fractions,https://youtu.be/rL18ZMgCeKU?si=nixffH9YSe3hdGgm,12:04,Beginner,8.2,9.509,8.392
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,9.065,7.855
Subtraction,Subtracting Whole Numbers,https://www.youtube.com/watch?v=z4bTlVxU9C0,8:40,Beginner,8.7,8.212,8.213
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,9.356,8.722
Addition,Add Numbers Faster,https://youtu.be/-x2yAOt_XFY?si=9WXX46kdbQDVhgO8,4:48,Advanced,8.8,9.831,8.706
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,7.947,7.838
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,9.479,8.381
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,8.114,7.985
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,7.319,7.646
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,8.42,8.025
Subtraction,Subtracting Large Numbers,https://youtu.be/HlxqCdDrbdc?si=1RAFlZfZuuD3LnjX,5:04,Intermediate,8.0,8.282,7.937
Subtraction,Multi-Digit Subtraction,https://youtu.be/Y6M89-6106I?si=6dT-roRnqAH6OHdl,6:56,Beginner,8.3,7.522,7.966
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,8.805,8.31
Fractions to Decimals,Introduction to Fractions to Decimals,https://youtu.be/pDs4a4ijqh0?si=ktPINIYpIFYNILOV,8:00,Intermediate,8.0,7.708,7.553
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,7.654,7.398
Fractions to Decimals,Convert any Fraction to a Decimal,https://youtu.be/do_IbHId2Os?si=WyTbHiTgY6AaEz_L,6:43,Beginner,8.4,7.444,8.001
Multiplication,Box Method Multiplication,https://youtu.be/n3q3XzzIGSY?si=goczDT3wCWGEkSvm,7:19,Intermediate,8.0,8.969,7.985
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,9.367,8.004
Subtraction,Subtracting Large Numbers,https://youtu.be/HlxqCdDrbdc?si=1RAFlZfZuuD3LnjX,5:04,Intermediate,8.0,9.955,8.587
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,9.528,8.35
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,8.022,7.55
Subtraction,Subtracting Whole Numbers,https://www.youtube.com/watch?v=z4bTlVxU9C0,8:40,Beginner,8.7,8.055,8.311
Simplifying Fractions,Learn Fraction Simplification,https://youtu.be/IuB8yTJ0-hk?si=8-bnaKA-irwAua1m,6:20,Intermediate,8.0,8.982,8.073
Addition,Add Numbers Faster,https://youtu.be/-x2yAOt_XFY?si=9WXX46kdbQDVhgO8,4:48,Advanced,8.8,8.703,8.25
Comparing Fractions,Comparing Fractions with different Denominators,https://youtu.be/d6fCqzuWjbo?si=eVQb7MoRlFCtsvGj,10:11,Intermediate,8.6,8.991,8.268
Addition,Decimal Arithmetic,https://www.youtube.com/watch?v=kwh4SD1ToFc,12:14,Intermediate,9.0,9.242,8.279
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,7.565,7.639
Addition,Adding Large Numbers,https://youtu.be/T9asFgfN5bg?si=CI2z3n21hND5aFvQ,5:03,Intermediate,7.8,9.167,8.111
Division,Long Division for Grade 7,https://www.youtube.com/watch?v=J15nbHRpSiQ,19:57,Beginner,9.0,9.599,8.409
Addition,Adding Large Numbers,https://youtu.be/T9asFgfN5bg?si=CI2z3n21hND5aFvQ,5:03,Intermediate,7.8,8.802,8.07
Simplifying Fractions,Learn Fraction Simplification,https://youtu.be/IuB8yTJ0-hk?si=8-bnaKA-irwAua1m,6:20,Intermediate,8.0,7.764,7.725
Simplifying Fractions,Learn Fraction Simplification,https://youtu.be/IuB8yTJ0-hk?si=8-bnaKA-irwAua1m,6:20,Intermediate,8.0,8.723,8.117
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,7.991,7.727
Ordering Fractions,How to Order Fractions,https://www.youtube.com/watch?v=i2PfHDs88YE,6:33,Beginner,8.8,8.629,8.561
Fractions to Decimals,Introduction to Fractions to Decimals,https://youtu.be/pDs4a4ijqh0?si=ktPINIYpIFYNILOV,8:00,Intermediate,8.0,8.459,8.032
Comparing Fractions,Mastering Comparing Fractions,https://youtu.be/PEqV48jMeXw?si=55QJueBjYIoAgbk0,11:09,Advanced,8.7,7.175,7.39
Simplifying Fractions,Reducing Fractions to Simplest Form,https://youtu.be/gVls1-gjIn0?si=vXNqJqUYBvTrC8xT,11:19,Advanced,8.5,7.075,7.466
Division,Basic Division,https://youtu.be/KGMf314LUc0?si=jxaKi8tja1iw8LUl,9:57,Beginner,8.4,7.203,7.768
Fractions to Decimals,Introduction to Fractions to Decimals,https://youtu.be/pDs4a4ijqh0?si=ktPINIYpIFYNILOV,8:00,Intermediate,8.0,7.121,7.356
Comparing Fractions,Comparing Fractions with different Denominators,https://youtu.be/d6fCqzuWjbo?si=eVQb7MoRlFCtsvGj,10:11,Intermediate,8.6,8.212,8.058
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,9.424,8.779
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,8.283,8.119
Subtraction,Multi-Digit Subtraction,https://youtu.be/Y6M89-6106I?si=6dT-roRnqAH6OHdl,6:56,Beginner,8.3,8.771,8.348
Comparing Fractions,Introduction to Comparing Fractions,https://www.youtube.com/watch?v=KNdUJQ_qd4U,6:30,Beginner,8.3,8.101,8.008
Comparing Fractions,Comparing Fractions,https://www.youtube.com/watch?v=u_QTuWj107o,7:42,Beginner,8.9,8.817,8.57
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,9.674,8.476
Fractions to Decimals,How to Convert Fractions to Decimals,https://www.youtube.com/watch?v=guBVW5PiHLs&list=PPSV,8:29,Beginner,9.1,7.482,8.233
Ordering Fractions,Introduction to Ordering Fractions,https://youtu.be/rL18ZMgCeKU?si=nixffH9YSe3hdGgm,12:04,Beginner,8.2,7.854,7.926
Simplifying Fractions,Introduction to Simplifying Fractions,https://youtu.be/k73w_yZb9SM?si=sIcPAuwAjD24B_pV,7:30,Beginner,8.4,9.505,8.666
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,9.176,8.106
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,8.831,8.036
Ordering Fractions,Learn Ordering Fractions,https://youtu.be/QECYScPz4sA?si=qJW4l4BvbXma1lOP,10:15,Intermediate,8.5,7.74,7.889
Subtraction,Introduction to Subtraction,https://youtu.be/r3qKojj4g4g?si=-XA75LAElZS8jQOy,10:42,Advanced,8.6,8.25,7.846
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,9.45,8.618
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,8.838,7.913
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,8.516,8.459
Multiplication,Box Method Multiplication,https://youtu.be/n3q3XzzIGSY?si=goczDT3wCWGEkSvm,7:19,Intermediate,8.0,7.205,7.457
Ordering Fractions,How to Order Fractions,https://www.youtube.com/watch?v=i2PfHDs88YE,6:33,Beginner,8.8,7.026,7.985
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,9.176,8.17
Simplifying Fractions,Simplifying Fractions,https://www.youtube.com/watch?v=AtBUQH8Tkqc&t=67s,8:30,Beginner,9.0,8.802,8.398
Comparing Fractions,Mastering Comparing Fractions,https://youtu.be/PEqV48jMeXw?si=55QJueBjYIoAgbk0,11:09,Advanced,8.7,9.298,8.183
Comparing Fractions,Comparing Fractions,https://www.youtube.com/watch?v=u_QTuWj107o,7:42,Beginner,8.9,8.752,8.685
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,9.314,8.601
Ordering Fractions,Introduction to Ordering Fractions,https://youtu.be/rL18ZMgCeKU?si=nixffH9YSe3hdGgm,12:04,Beginner,8.2,7.969,7.825
Fractions to Decimals,Convert any Fraction to a Decimal,https://youtu.be/do_IbHId2Os?si=WyTbHiTgY6AaEz_L,6:43,Beginner,8.4,9.239,8.586
Division,Division Basics for Beginners,https://youtu.be/InIKW_tfhs4?si=i3EqqM2A_6JHTQYh,3:44,Intermediate,7.8,7.499,7.401
Fractions to Decimals,Mastering Fractions to Decimals,https://youtu.be/Mpv7AzOUOqg?si=dMjxnFwXU98D4MpH,9:06,Advanced,8.5,7.681,7.562
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,7.856,7.743
Division,Long Division for Grade 7,https://www.youtube.com/watch?v=J15nbHRpSiQ,19:57,Beginner,9.0,8.05,8.253
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,8.526,8.599
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,8.423,8.165
Addition,Decimal Arithmetic,https://www.youtube.com/watch?v=kwh4SD1ToFc,12:14,Intermediate,9.0,7.336,7.801
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,8.03,7.642
Division,Division Basics for Beginners,https://youtu.be/InIKW_tfhs4?si=i3EqqM2A_6JHTQYh,3:44,Intermediate,7.8,8.271,7.785
Subtraction,Subtracting Whole Numbers,https://www.youtube.com/watch?v=z4bTlVxU9C0,8:40,Beginner,8.7,9.59,8.775
Ordering Fractions,Learn Ordering Fractions,https://youtu.be/QECYScPz4sA?si=qJW4l4BvbXma1lOP,10:15,Intermediate,8.5,9.571,8.373
Ordering Fractions,How to Order Fractions,https://www.youtube.com/watch?v=i2PfHDs88YE,6:33,Beginner,8.8,9.439,8.905
Comparing Fractions,Comparing Fractions,https://www.youtube.com/watch?v=u_QTuWj107o,7:42,Beginner,8.9,8.114,8.323
Fractions to Decimals,Convert any Fraction to a Decimal,https://youtu.be/do_IbHId2Os?si=WyTbHiTgY6AaEz_L,6:43,Beginner,8.4,7.358,7.817
Fractions to Decimals,How to Convert Fractions to Decimals,https://www.youtube.com/watch?v=guBVW5PiHLs&list=PPSV,8:29,Beginner,9.1,9.842,9.13
Comparing Fractions,Comparing Like Fractions,https://youtu.be/H3N5To5fO5U?si=Y3IFqQaqTK2GalSa,4:45,Intermediate,7.8,9.498,8.283
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,9.411,8.531
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,9.314,8.359
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,8.682,8.472
Subtraction,Multi-Digit Subtraction,https://youtu.be/Y6M89-6106I?si=6dT-roRnqAH6OHdl,6:56,Beginner,8.3,9.198,8.603
Subtraction,Subtracting Whole Numbers,https://www.youtube.com/watch?v=z4bTlVxU9C0,8:40,Beginner,8.7,8.49,8.251
Simplifying Fractions,Learn Fraction Simplification,https://youtu.be/IuB8yTJ0-hk?si=8-bnaKA-irwAua1m,6:20,Intermediate,8.0,7.9,7.713
Comparing Fractions,Comparing Fractions,https://www.youtube.com/watch?v=u_QTuWj107o,7:42,Beginner,8.9,7.868,8.211
Comparing Fractions,Comparing Like Fractions,https://youtu.be/H3N5To5fO5U?si=Y3IFqQaqTK2GalSa,4:45,Intermediate,7.8,9.863,8.401
Addition,Adding Large Numbers,https://youtu.be/T9asFgfN5bg?si=CI2z3n21hND5aFvQ,5:03,Intermediate,7.8,7.883,7.819
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,9.687,8.718
Multiplication,Long Multiplication for Grade 7,https://www.youtube.com/watch?v=r85EMNbWMiE,21:00,Beginner,9.2,7.586,7.867
Addition,Adding Large Numbers,https://youtu.be/T9asFgfN5bg?si=CI2z3n21hND5aFvQ,5:03,Intermediate,7.8,7.033,7.41
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,9.603,8.243
Ordering Fractions,Fraction Ordering,https://youtu.be/76s8ZzK87rA?si=F0Z4GtJkicWyq5_A,14:40,Intermediate,7.9,7.492,7.388
Fractions to Decimals,Converting Fractions to Decimals,https://youtu.be/UtHGpx_yp4U?si=tVG8XzrdqWBZp_hs,7:54,Intermediate,8.7,9.773,8.697
Addition,Decimal Arithmetic,https://www.youtube.com/watch?v=kwh4SD1ToFc,12:14,Intermediate,9.0,7.155,7.647
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,9.053,8.433
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,9.278,8.292
Multiplication,Box Method Multiplication,https://youtu.be/n3q3XzzIGSY?si=goczDT3wCWGEkSvm,7:19,Intermediate,8.0,7.254,7.476
Division,Division Basics for Beginners,https://youtu.be/InIKW_tfhs4?si=i3EqqM2A_6JHTQYh,3:44,Intermediate,7.8,8.395,7.99
Simplifying Fractions,Simplifying Fractions,https://www.youtube.com/watch?v=AtBUQH8Tkqc&t=67s,8:30,Beginner,9.0,7.681,8.304
Addition,Adding Large Numbers,https://youtu.be/T9asFgfN5bg?si=CI2z3n21hND5aFvQ,5:03,Intermediate,7.8,9.084,8.013
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,7.033,7.602
Subtraction,Subtracting Large Numbers,https://youtu.be/HlxqCdDrbdc?si=1RAFlZfZuuD3LnjX,5:04,Intermediate,8.0,9.647,8.409
Multiplication,Long Multiplication for Grade 7,https://www.youtube.com/watch?v=r85EMNbWMiE,21:00,Beginner,9.2,9.111,8.413
Simplifying Fractions,Introduction to Simplifying Fractions,https://youtu.be/k73w_yZb9SM?si=sIcPAuwAjD24B_pV,7:30,Beginner,8.4,9.366,8.624
Multiplication,Long Multiplication for Grade 7,https://www.youtube.com/watch?v=r85EMNbWMiE,21:00,Beginner,9.2,9.718,8.568
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,8.671,8.293
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,8.021,7.556
Comparing Fractions,Comparing Like Fractions,https://youtu.be/H3N5To5fO5U?si=Y3IFqQaqTK2GalSa,4:45,Intermediate,7.8,9.2,8.1
Subtraction,Subtracting Whole Numbers,https://www.youtube.com/watch?v=z4bTlVxU9C0,8:40,Beginner,8.7,9.588,8.668
Division,Long Division with 2-Digit Divisors,https://youtu.be/HdU_rf7eMTI?si=Pr40TqBRgGXrpLxG,13:04,Intermediate,8.6,7.837,7.834
Fractions to Decimals,Introduction to Fractions to Decimals,https://youtu.be/pDs4a4ijqh0?si=ktPINIYpIFYNILOV,8:00,Intermediate,8.0,8.225,7.883
